,name,count
0,Δηλητηριώδες,1
1,Оля,31
2,Дарья,222
3,Marfa,1
4,Софья,46
5,Елена,177
6,София,26
7,Julia,2
8,Надя,7
9,Электроничка,1
10,Кристина,184
11,Алина,106
12,Анна,203
13,Алиса,26
14,Sofia,4
15,Полина,89
16,Диана,50
17,Vika,2
18,Екатерина,270
19,Соня,14
20,Анастасия,381
21,Diana,3
22,Анета,1
23,Каролина,1
24,Ирина,157
25,Dana,1
26,Мария,225
27,Ксения,166
28,Łlex,1
29,Александра,97
30,Сюзанна,2
31,Дарина,15
32,Катя,38
33,Милена,8
34,Женя,6
35,Настя,57
36,Елена-Мария,1
37,Любаня,2
38,Арина,58
39,Рашидат,1
40,Вика,12
41,Марина,92
42,Виктория,114
43,Дана,3
44,Таня,18
45,Никита,2
46,Лара,1
47,Елизавета,78
48,Валерия,69
49,Ольга,152
50,Лариса,21
51,Развивающие,1
52,Карина,29
53,Алена,53
54,Эльвира,5
55,Polina,7
56,Sasha,1
57,Ира,9
58,Ксю,3
59,Tina,1
60,Наталья,184
61,Ksenia,3
62,Оксана,44
63,Юличка,2
64,Виолетта,11
65,Дина,6
66,Arina,6
67,Darya,2
68,Галина,41
69,Дима,1
70,Annet,1
71,Злата,7
72,Марія,1
73,Тамара,6
74,Влада,7
75,Даша,43
76,Лена,15
77,Натенька,1
78,Светлана,105
79,Татьяна,185
80,Юлька,5
81,Люба,4
82,Олеся,45
83,Vitalia,1
84,Stefani,1
85,Евгения,70
86,Любовь,24
87,Milva,1
88,Made-In,1
89,Рая,2
90,Алёна,103
91,Милана,10
92,Svetlana,4
93,Диля,1
94,Вера,19
95,Орослейв,1
96,Вероника,39
97,Евдокия,1
98,Anastasia,7
99,Sonya,1
100,Katya,1
101,Маша,20
102,Снежана,6
103,Лера,12
104,Василиса,11
105,Юля,26
106,Света,11
107,Надежда,48
108,Нелли,4
109,Аля,6
110,Valeriya,1
111,Адрианна,1
112,Sara,1
113,Kristi,1
114,Наташа,28
115,Юлия,203
116,Ангелина,17
117,Маргарита,32
118,Маришка,8
119,Удаленная,1
120,Никуся,1
121,Ксюша,18
122,Лиза,26
123,Натуська,1
124,Клара,1
125,Венера,1
126,Анюта,31
127,Яна,60
128,Миланка,1
129,Катерина,63
130,Валентина,32
131,Dasha,4
132,Лизавета,2
133,Алевтина,3
134,Алдынай,1
135,Инна,8
136,Руфина,1
137,Альфия,1
138,Леся,6
139,Alex,1
140,Евгеша,1
141,Сабина,4
142,Catherine,1
143,Варвара,16
144,Ева,6
145,Сабрина,2
146,Дарианна,1
147,Гунел,1
148,Каринэ,1
149,Albeni,1
150,Артём,1
151,Варя,5
152,Владлена,2
153,Ленуська,1
154,Рафаэль,1
155,Людмила,28
156,Алинчик,1
157,Elizaveta,5
158,Еленка,1
159,Лилия,9
160,Настюша,2
161,Νατάσα,1
162,Наталка,1
163,Альбина,6
164,Дашенька,1
165,Лия,5
166,Олечка,4
167,Аня,42
168,Танюшка,6
169,Эрика,2
170,Ульяна,15
171,Анютка,10
172,Жанна,10
173,Василина,2
174,Ouji,1
175,Настёна,6
176,Крис,1
