,age
0,2001
1,2003
2,2001
3,2003
4,1994
5,1997
6,2004
7,2004
8,2001
9,2002
10,1905
11,1997
12,2004
13,1989
14,1996
15,2003
16,1985
17,1987
18,2003
19,2001
20,1988
21,2008
22,1997
23,1975
24,1973
25,1998
26,1996
27,1997
28,2003
29,1999
30,1997
31,1999
32,1941
33,1957
34,2007
35,1938
36,1998
37,1995
38,1992
39,2004
40,1971
41,1984
42,1987
43,1992
44,1999
45,1980
46,1988
47,1991
48,1951
49,1996
50,1985
51,1985
52,1958
53,1961
54,1957
55,1968
56,2004
57,1997
58,1991
59,1999
60,2001
61,1992
62,1911
63,1990
64,1994
65,1988
66,1994
67,1997
68,1995
69,1995
70,1994
71,1990
72,1991
73,1989
74,1990
75,1980
76,1989
77,2006
78,2002
79,2005
80,1996
81,2002
82,2002
83,2000
84,2001
85,2001
86,1998
87,1992
88,1998
89,2004
90,2000
91,2003
92,2006
93,2003
94,1958
95,1996
96,1995
97,1989
98,1992
99,1995
100,1989
101,1971
102,1986
103,1990
104,1960
105,2005
106,1987
107,1986
108,1986
109,1982
110,2003
111,2002
112,2003
113,2000
114,2002
115,2004
116,2002
117,2001
118,2001
119,1997
120,1991
121,1994
122,1989
123,1994
124,1994
125,1991
126,1994
127,1993
128,1991
129,1922
130,1994
131,1982
132,1988
133,1993
134,1984
135,1991
136,1939
137,1989
138,1991
139,1980
140,2004
141,2007
142,1997
143,2000
144,1993
145,2000
146,2005
147,2002
148,2004
149,1989
150,1987
151,1995
152,1994
153,1991
154,1992
155,1990
156,1991
157,1993
158,1986
159,1993
160,1982
161,1993
162,1993
163,1980
164,1991
165,1987
166,1987
167,1987
168,1969
169,2004
170,1996
171,2001
172,1998
173,2003
174,2001
175,1976
176,2005
177,2001
178,2002
179,1973
180,1998
181,1992
182,1996
183,1997
184,1980
185,1995
186,1998
187,1994
188,1978
189,1992
190,1992
191,1988
192,1993
193,1991
194,1989
195,1990
196,1981
197,1987
198,1951
199,1984
200,1988
201,1994
202,2008
203,2000
204,1992
205,2006
206,2005
207,1999
208,2005
209,2000
210,2004
211,2000
212,1992
213,1997
214,1983
215,1990
216,1994
217,1993
218,1990
219,1994
220,1995
221,1998
222,1996
223,1996
224,1992
225,1986
226,1992
227,1991
228,1993
229,1987
230,1993
231,1987
232,1994
233,1990
234,1987
235,1985
236,1989
237,1990
238,1979
239,1988
240,1959
241,1983
242,1993
243,2003
244,2003
245,2002
246,2005
247,1998
248,1996
249,1993
250,2001
251,2003
252,1994
253,1997
254,1999
255,1991
256,1902
257,1977
258,1994
259,1994
260,1993
261,2002
262,1987
263,1994
264,1990
265,1992
266,1989
267,1984
268,1988
269,1992
270,1988
271,1992
272,1988
273,1988
274,1992
275,1988
276,1968
277,2003
278,2000
279,2003
280,2001
281,2003
282,2003
283,2002
284,2004
285,2005
286,1986
287,2002
288,2002
289,1983
290,1996
291,1997
292,2002
293,1996
294,1993
295,1994
296,1992
297,1956
298,1996
299,1986
300,1990
301,1989
302,1988
303,1992
304,1987
305,1990
306,1989
307,1975
308,1980
309,1989
310,1972
311,1990
312,2004
313,2000
314,2005
315,2003
316,2007
317,2006
318,2003
319,2000
320,2002
321,2003
322,1998
323,1993
324,1994
325,1975
326,1993
327,1994
328,1997
329,1993
330,1995
331,1995
332,1987
333,1991
334,1994
335,1989
336,1977
337,1988
338,1990
339,1992
340,1988
341,1985
342,1988
343,1990
344,2004
345,2006
346,1998
347,2003
348,2005
349,2005
350,1962
351,2005
352,2008
353,2004
354,2003
355,1991
356,2001
357,2001
358,2000
359,2001
360,2002
361,2003
362,1990
363,1987
364,2000
365,2004
366,1999
367,2002
368,2002
369,2002
370,1990
371,1998
372,2000
373,2003
374,2003
375,1994
376,1997
377,2000
378,1998
379,1991
380,1992
381,1994
382,1999
383,2000
384,1990
385,1992
386,1995
387,1998
388,1971
389,1974
390,1995
391,1991
392,1994
393,1997
394,2001
395,1996
396,2000
397,1995
398,1996
399,1999
400,1994
401,1979
402,1993
403,1997
404,1979
405,2005
406,1987
407,1997
408,1994
409,1996
410,1993
411,1990
412,1990
413,2002
414,1988
415,1970
416,1986
417,1996
418,1997
419,1992
420,1990
421,1988
422,1975
423,1993
424,1995
425,1984
426,1993
427,1993
428,1990
429,1989
430,1989
431,1996
432,2003
433,1979
434,1991
435,1978
436,1993
437,1978
438,1993
439,1993
440,1989
