,age
0,2003
1,2005
2,1961
3,2001
4,1998
5,1998
6,1997
7,1979
8,1962
9,2000
10,1985
11,2004
12,2001
13,1902
14,1995
15,1998
16,2002
17,1905
18,1999
19,1999
20,1982
21,2004
22,2003
23,2002
24,2008
25,1985
26,1999
27,2006
28,2003
29,2005
30,2000
31,2006
32,1982
33,2004
34,1997
35,2000
36,1998
37,2003
38,2000
39,2000
40,2000
41,2005
42,1954
43,2004
44,1992
45,1969
46,1998
47,1993
48,2003
49,1991
50,2001
51,1998
52,1993
53,1902
54,2004
55,1986
56,1992
57,1998
58,1991
59,2006
60,1985
61,1996
62,1975
63,1994
64,2001
65,2008
66,1991
67,1999
68,1973
69,1983
70,1998
71,1998
72,1969
73,1965
74,1984
75,1994
76,1950
77,1957
78,2000
79,1980
80,1998
81,2003
82,1962
83,1957
84,1990
85,1985
86,1976
87,1986
88,2005
89,2000
90,1986
91,2000
92,2002
93,2005
94,1912
95,2004
96,2002
97,2001
98,1995
99,1995
100,1975
101,1990
102,1994
103,2002
104,2003
105,1992
106,2002
107,2003
108,2002
109,2006
110,2003
111,2001
112,1995
113,2003
114,2005
115,2005
116,1988
117,2000
118,2003
119,2004
120,2004
121,2001
122,2006
123,1999
124,1981
125,1997
126,2002
127,1995
128,1993
129,1995
130,1994
131,1993
132,1978
133,1987
134,2002
135,2000
136,2001
137,1912
138,1999
139,2003
140,1970
141,2004
142,2000
143,2002
144,2000
145,2003
146,1996
147,1992
148,1998
149,1990
150,1995
151,2008
152,1982
153,1998
154,1992
155,1993
156,2004
157,2005
158,2001
159,2003
160,2003
161,2005
162,2005
163,1991
164,2001
165,1973
166,1999
167,1990
168,2000
169,1990
170,1993
171,1994
172,1989
173,1996
174,2002
175,1993
176,2004
177,1991
178,1996
179,1984
180,1959
181,2002
182,2003
183,2003
184,2003
185,2000
186,2000
187,1969
188,2002
189,1986
190,1984
191,2000
192,2000
193,2002
194,1991
195,2001
196,2005
197,2001
198,1994
199,2006
200,1994
201,1991
202,2002
203,1993
204,1990
205,2001
206,1987
207,1983
208,1998
209,2000
210,2003
211,1961
212,2002
213,2000
214,1996
215,1999
216,1980
217,1968
218,1903
219,1950
220,1991
221,1997
222,1950
223,1902
224,1971
225,1986
226,2003
227,1999
228,1985
229,2005
230,2007
231,2004
232,2005
233,2003
234,2002
235,2002
236,1990
237,1990
238,1951
239,1988
240,2003
241,1985
242,1991
243,1991
244,1955
245,1998
246,2004
247,2002
248,2003
249,2002
250,2003
251,2004
252,2002
253,1999
254,2001
255,1998
256,2007
257,2006
258,1992
259,1977
260,1991
261,1972
262,2003
263,2003
264,2002
265,1999
266,1997
267,2001
268,1999
269,2004
270,1901
271,2005
272,1997
273,1995
274,2000
275,1996
276,2002
277,1997
278,1906
279,1987
280,1995
281,1993
282,1901
283,1987
284,1994
285,1987
286,1976
287,2007
288,1979
289,1986
290,2003
291,2000
292,2000
293,2005
294,2002
295,1999
296,2005
297,2000
298,2003
299,2003
300,2000
301,2001
302,2005
303,2001
304,1996
305,1998
306,2002
307,2003
308,1998
309,2003
310,1999
311,2003
312,2003
313,1994
314,1971
315,2003
316,2000
317,1981
318,1992
319,2004
320,1901
321,1996
322,1997
323,1959
324,1993
325,1975
326,2000
327,1986
328,1996
329,2001
330,1996
331,2001
332,2007
333,1983
334,1990
335,1997
336,2007
337,2007
338,1995
339,1987
340,1994
341,1989
342,1987
343,1986
344,1986
345,1999
346,1989
347,1994
348,1988
349,1998
350,1950
351,1980
352,1983
353,1988
354,1979
355,1974
356,1993
357,1989
358,1989
359,1988
360,1984
361,1996
362,1994
363,1991
364,1989
365,1980
366,1998
367,1991
368,1989
369,1988
370,1974
371,1973
372,1975
373,2008
374,1964
